game_id,game_date,season,away_team_id,away_team,home_team_id,home_team,away_score,home_score,home_team_won
634615,2021-04-01,2021,119,Los Angeles Dodgers,115,Colorado Rockies,5,8,1
634618,2021-04-01,2021,109,Arizona Diamondbacks,135,San Diego Padres,7,8,1
634622,2021-04-01,2021,144,Atlanta Braves,143,Philadelphia Phillies,2,3,1
634625,2021-04-01,2021,137,San Francisco Giants,136,Seattle Mariners,7,8,1
634630,2021-04-01,2021,140,Texas Rangers,118,Kansas City Royals,10,14,1
634634,2021-04-01,2021,134,Pittsburgh Pirates,112,Chicago Cubs,5,3,0
634636,2021-04-01,2021,138,St. Louis Cardinals,113,Cincinnati Reds,11,6,0
634638,2021-04-01,2021,142,Minnesota Twins,158,Milwaukee Brewers,5,6,1
634640,2021-04-01,2021,117,Houston Astros,133,Oakland Athletics,8,1,0
634642,2021-04-01,2021,141,Toronto Blue Jays,147,New York Yankees,3,2,0
634645,2021-04-01,2021,114,Cleveland Indians,116,Detroit Tigers,2,3,1
634652,2021-04-01,2021,139,Tampa Bay Rays,146,Miami Marlins,1,0,0
634655,2021-04-01,2021,145,Chicago White Sox,108,Los Angeles Angels,3,4,1
634576,2021-04-02,2021,109,Arizona Diamondbacks,135,San Diego Padres,2,4,1
634578,2021-04-02,2021,137,San Francisco Giants,136,Seattle Mariners,6,3,0
634602,2021-04-02,2021,139,Tampa Bay Rays,146,Miami Marlins,6,4,0
634605,2021-04-02,2021,117,Houston Astros,133,Oakland Athletics,9,5,0
634627,2021-04-02,2021,110,Baltimore Orioles,111,Boston Red Sox,3,0,0
634631,2021-04-02,2021,145,Chicago White Sox,108,Los Angeles Angels,12,8,0
634653,2021-04-02,2021,119,Los Angeles Dodgers,115,Colorado Rockies,11,6,0
634573,2021-04-03,2021,114,Cleveland Indians,116,Detroit Tigers,2,5,1
634575,2021-04-03,2021,142,Minnesota Twins,158,Milwaukee Brewers,2,0,0
634577,2021-04-03,2021,110,Baltimore Orioles,111,Boston Red Sox,4,2,0
634580,2021-04-03,2021,144,Atlanta Braves,143,Philadelphia Phillies,0,4,1
634596,2021-04-03,2021,139,Tampa Bay Rays,146,Miami Marlins,7,12,1
634604,2021-04-03,2021,140,Texas Rangers,118,Kansas City Royals,4,11,1
634623,2021-04-03,2021,109,Arizona Diamondbacks,135,San Diego Padres,0,7,1
